


year,ISO3,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,RWA,Rwanda,RW,Eastern Province,RW5,236613,232495,469108,32472,30985,26669,23226,21719,18681,19489,16767,12116,8879,6762,6228,5222,3819,1965,961,653,33454,31847,28012,24455,22562,18970,18601,15771,10812,7439,5209,4862,4543,3078,1800,671,409,65926,62832,54681,47681,44281,37651,38090,32538,22928,16318,11971,11090,9765,6897,3765,1632,1062
2023,RWA,Rwanda,RW,Kigali City,RW1,432099,483707,915806,57912,45069,40997,48602,55448,46663,39826,33611,21985,14163,7754,6344,4936,3857,2429,1390,1113,59194,46599,40497,44426,61531,60449,55241,45158,27075,16658,8896,7096,4924,3114,1729,716,404,117106,91668,81494,93028,116979,107112,95067,78769,49060,30821,16650,13440,9860,6971,4158,2106,1517
2023,RWA,Rwanda,RW,Northern Province,RW4,170398,159415,329813,19186,22908,24915,20102,14757,11108,10693,11095,8120,6698,4995,4560,3973,3269,1929,1133,957,19435,22929,24911,20360,15678,11287,9414,9023,6651,5254,3681,3492,2967,2125,1204,613,391,38621,45837,49826,40462,30435,22395,20107,20118,14771,11952,8676,8052,6940,5394,3133,1746,1348
2023,RWA,Rwanda,RW,Southern Province,RW2,193893,172838,366731,25173,24427,21655,19238,14632,13670,14382,13568,11509,9910,6846,6529,5549,3294,1878,998,635,26143,24732,22293,19905,13918,12127,12597,10745,8260,6586,4488,4032,3421,1800,1076,432,283,51316,49159,43948,39143,28550,25797,26979,24313,19769,16496,11334,10561,8970,5094,2954,1430,918
2023,RWA,Rwanda,RW,Western Province,RW3,190099,172694,362793,22013,23943,23527,20887,16157,13897,13558,14029,10387,7443,6632,5311,4340,3681,2161,1116,1017,22831,24473,23932,21611,15219,12404,11531,11051,7787,5318,4599,3872,3170,2346,1436,575,539,44844,48416,47459,42498,31376,26301,25089,25080,18174,12761,11231,9183,7510,6027,3597,1691,1556
