year,ISO3,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,ADM3_FR,ADM3_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,RWA,Rwanda,RW,Western Province,RW3,Rusizi,RW36,Nkanka,RW3612,9831,8563,18394,1191,1096,1151,949,898,660,708,609,517,517,422,349,260,216,139,90,59,1283,1123,1215,1006,720,461,480,480,323,337,276,294,238,189,82,33,23,2474,2219,2366,1955,1618,1121,1188,1089,840,854,698,643,498,405,221,123,82
2023,RWA,Rwanda,RW,Western Province,RW3,Rusizi,RW36,Nkombo,RW3613,9762,9260,19022,1445,1310,1356,1022,773,619,655,637,511,338,291,244,165,181,107,52,56,1463,1361,1403,1066,830,593,553,522,386,253,198,237,150,103,89,32,21,2908,2671,2759,2088,1603,1212,1208,1159,897,591,489,481,315,284,196,84,77
2023,RWA,Rwanda,RW,Western Province,RW3,Rusizi,RW36,Nkungu,RW3614,11319,10196,21515,1294,1222,1559,1345,1014,745,777,715,619,516,356,403,290,215,112,72,65,1297,1285,1480,1288,866,612,653,547,433,434,330,353,293,165,89,43,28,2591,2507,3039,2633,1880,1357,1430,1262,1052,950,686,756,583,380,201,115,93
2023,RWA,Rwanda,RW,Western Province,RW3,Rusizi,RW36,Nyakabuye,RW3615,16819,15536,32355,2059,1913,2193,1994,1485,1245,1202,1050,909,754,551,490,321,273,200,110,70,2035,1934,2304,1926,1375,1059,1055,955,710,605,453,433,287,191,122,59,33,4094,3847,4497,3920,2860,2304,2257,2005,1619,1359,1004,923,608,464,322,169,103
2023,RWA,Rwanda,RW,Western Province,RW3,Rusizi,RW36,Nyakarenzo,RW3616,8753,7833,16586,966,897,1112,1044,796,636,558,560,424,431,321,329,263,203,98,66,49,1020,913,1095,1050,753,507,463,420,323,282,241,278,215,138,79,38,18,1986,1810,2207,2094,1549,1143,1021,980,747,713,562,607,478,341,177,104,67
2023,RWA,Rwanda,RW,Western Province,RW3,Rusizi,RW36,Nzahaha,RW3617,15401,14426,29827,1878,1858,2008,1610,1387,997,1227,978,649,641,535,582,429,277,154,112,79,1975,1905,2009,1746,1352,953,924,843,566,551,423,472,310,176,127,59,35,3853,3763,4017,3356,2739,1950,2151,1821,1215,1192,958,1054,739,453,281,171,114
2023,RWA,Rwanda,RW,Western Province,RW3,Rusizi,RW36,Rwimbogo,RW3618,10747,10017,20764,1308,1315,1417,1160,931,757,778,704,519,426,339,359,290,215,122,63,44,1305,1261,1428,1224,900,683,708,585,454,417,267,263,228,147,86,37,24,2613,2576,2845,2384,1831,1440,1486,1289,973,843,606,622,518,362,208,100,68
2023,RWA,Rwanda,RW,Western Province,RW3,Rutsiro,RW32,Boneza,RW3201,14529,16802,31331,1705,2159,1765,1462,1210,1172,1174,1091,625,548,442,390,313,213,153,55,52,1840,2177,1963,1912,2086,1709,1556,1162,681,434,357,332,253,147,114,49,30,3545,4336,3728,3374,3296,2881,2730,2253,1306,982,799,722,566,360,267,104,82
2023,RWA,Rwanda,RW,Western Province,RW3,Rutsiro,RW32,Gihango,RW3202,13823,12776,26599,1622,1794,1725,1518,1181,1062,1060,1030,720,519,409,361,282,254,146,83,57,1739,1773,1691,1561,1325,1012,929,871,529,363,261,237,197,128,92,45,23,3361,3567,3416,3079,2506,2074,1989,1901,1249,882,670,598,479,382,238,128,80
2023,RWA,Rwanda,RW,Western Province,RW3,Rutsiro,RW32,Kigeyo,RW3203,12157,11293,23450,1267,1600,1696,1455,1057,921,856,812,548,518,361,321,303,195,136,67,44,1326,1566,1796,1448,995,774,721,677,479,370,291,289,257,145,97,33,29,2593,3166,3492,2903,2052,1695,1577,1489,1027,888,652,610,560,340,233,100,73
2023,RWA,Rwanda,RW,Western Province,RW3,Rutsiro,RW32,Kivumu,RW3204,18694,17262,35956,2423,2454,2548,2063,1603,1412,1311,1159,905,728,562,476,428,315,143,95,69,2268,2495,2651,2147,1567,1130,1069,957,786,588,441,415,300,241,124,52,31,4691,4949,5199,4210,3170,2542,2380,2116,1691,1316,1003,891,728,556,267,147,100
2023,RWA,Rwanda,RW,Western Province,RW3,Rutsiro,RW32,Manihira,RW3205,9478,8538,18016,1161,1342,1285,1035,873,733,639,641,485,326,276,214,140,153,101,38,36,1179,1286,1327,1072,820,662,576,507,300,204,164,123,118,104,60,18,18,2340,2628,2612,2107,1693,1395,1215,1148,785,530,440,337,258,257,161,56,54
2023,RWA,Rwanda,RW,Western Province,RW3,Rutsiro,RW32,Mukura,RW3206,21784,19207,40991,2654,2910,2937,2401,1815,1490,1474,1618,1139,759,708,651,453,349,227,101,98,2806,2877,2907,2376,1685,1260,1200,1157,819,480,472,407,329,235,97,46,54,5460,5787,5844,4777,3500,2750,2674,2775,1958,1239,1180,1058,782,584,324,147,152
2023,RWA,Rwanda,RW,Western Province,RW3,Rutsiro,RW32,Murunda,RW3207,11560,10596,22156,1501,1468,1474,1330,925,823,819,870,687,441,309,294,232,185,93,61,48,1557,1622,1534,1368,847,664,625,688,446,332,234,208,181,149,93,25,23,3058,3090,3008,2698,1772,1487,1444,1558,1133,773,543,502,413,334,186,86,71
2023,RWA,Rwanda,RW,Western Province,RW3,Rutsiro,RW32,Musasa,RW3208,13506,12642,26148,1435,1821,1765,1405,1118,1074,1029,991,771,536,424,395,280,208,155,57,42,1513,1880,1739,1512,1113,869,1018,819,630,436,274,310,241,155,81,35,17,2948,3701,3504,2917,2231,1943,2047,1810,1401,972,698,705,521,363,236,92,59
2023,RWA,Rwanda,RW,Western Province,RW3,Rutsiro,RW32,Mushonyi,RW3209,12123,11223,23346,1143,1650,1721,1351,922,907,899,867,635,502,373,384,297,185,183,70,34,1201,1611,1756,1419,859,677,759,720,570,407,316,335,257,170,103,38,25,2344,3261,3477,2770,1781,1584,1658,1587,1205,909,689,719,554,355,286,108,59
2023,RWA,Rwanda,RW,Western Province,RW3,Rutsiro,RW32,Mushubati,RW3210,16150,14608,30758,1972,2154,2137,1646,1342,1216,1217,1144,841,597,535,407,311,301,171,90,69,2044,2244,2076,1728,1260,1020,1120,965,563,414,329,304,203,138,116,42,42,4016,4398,4213,3374,2602,2236,2337,2109,1404,1011,864,711,514,439,287,132,111
2023,RWA,Rwanda,RW,Western Province,RW3,Rutsiro,RW32,Nyabirasi,RW3211,16740,14994,31734,2278,2249,2141,1949,1634,1232,1064,997,793,664,496,381,319,282,127,61,73,2335,2251,2152,1815,1441,1029,886,814,563,486,338,279,235,199,102,43,26,4613,4500,4293,3764,3075,2261,1950,1811,1356,1150,834,660,554,481,229,104,99
2023,RWA,Rwanda,RW,Western Province,RW3,Rutsiro,RW32,Ruhango,RW3212,15665,14010,29675,1894,2041,2091,1745,1330,1105,1096,1117,824,647,456,404,371,265,160,60,59,1940,2114,2095,1751,1097,875,832,789,653,487,336,302,301,244,120,53,21,3834,4155,4186,3496,2427,1980,1928,1906,1477,1134,792,706,672,509,280,113,80
2023,RWA,Rwanda,RW,Western Province,RW3,Rutsiro,RW32,Rusebeya,RW3213,13031,11465,24496,1653,1830,1740,1434,1212,1011,886,805,641,502,380,323,223,175,113,51,52,1665,1808,1714,1423,1100,932,731,589,420,304,230,183,147,99,70,29,21,3318,3638,3454,2857,2312,1943,1617,1394,1061,806,610,506,370,274,183,80,73
