year,ISO3,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,RWA,Rwanda,RW,Southern Province,RW2,Gisagara,RW22,193893,172838,366731,25173,24427,21655,19238,14632,13670,14382,13568,11509,9910,6846,6529,5549,3294,1878,998,635,26143,24732,22293,19905,13918,12127,12597,10745,8260,6586,4488,4032,3421,1800,1076,432,283,51316,49159,43948,39143,28550,25797,26979,24313,19769,16496,11334,10561,8970,5094,2954,1430,918
2023,RWA,Rwanda,RW,Southern Province,RW2,Huye,RW24,193464,181729,375193,22367,21634,21298,20270,16296,14484,14492,13917,11913,9760,6586,6654,5882,3715,2183,1168,845,22889,22334,21846,21277,16555,14160,14361,12617,9507,7301,4955,4931,4249,2424,1378,606,339,45256,43968,43144,41547,32851,28644,28853,26534,21420,17061,11541,11585,10131,6139,3561,1774,1184
2023,RWA,Rwanda,RW,Southern Province,RW2,Kamonyi,RW28,214820,200121,414941,24445,25681,24644,21773,16638,15335,16752,16906,14175,11221,7133,6267,4890,4088,2622,1315,935,25299,26243,25671,23095,15988,14364,15684,14874,11258,8403,5611,4852,3533,2502,1548,727,469,49744,51924,50315,44868,32626,29699,32436,31780,25433,19624,12744,11119,8423,6590,4170,2042,1404
2023,RWA,Rwanda,RW,Southern Province,RW2,Muhanga,RW27,167391,158928,326319,17232,19284,20115,17551,13650,12793,13073,13274,10387,8239,5599,5138,3993,3107,2051,1120,785,17821,19464,20610,17585,13025,11588,11860,12170,9123,7210,5160,4939,3592,2282,1414,655,430,35053,38748,40725,35136,26675,24381,24933,25444,19510,15449,10759,10077,7585,5389,3465,1775,1215
2023,RWA,Rwanda,RW,Southern Province,RW2,Nyamagabe,RW25,201325,185803,387128,22603,25422,26731,22935,16180,13999,13158,13795,11825,9093,6761,5783,4868,3637,2327,1153,1055,22896,26067,26598,22026,14859,12217,11013,11518,9917,7637,5749,5131,4188,2855,1803,757,572,45499,51489,53329,44961,31039,26216,24171,25313,21742,16730,12510,10914,9056,6492,4130,1910,1627
2023,RWA,Rwanda,RW,Southern Province,RW2,Nyanza,RW21,220400,216468,436868,27322,27973,25762,20316,17212,15846,15600,16110,13739,11175,7607,6569,5624,4532,2838,1251,924,27951,28978,26533,22782,17574,15105,15662,15272,12312,9887,6980,5920,4862,3353,1933,810,554,55273,56951,52295,43098,34786,30951,31262,31382,26051,21062,14587,12489,10486,7885,4771,2061,1478
2023,RWA,Rwanda,RW,Southern Province,RW2,Nyaruguru,RW23,183046,168241,351287,21877,25082,24319,20505,14156,11503,11780,12005,10438,7656,5819,5343,4762,3567,2148,1172,914,22000,25903,24892,21916,13906,10170,9907,9714,7791,5405,4282,3905,3618,2159,1555,651,467,43877,50985,49211,42421,28062,21673,21687,21719,18229,13061,10101,9248,8380,5726,3703,1823,1381
2023,RWA,Rwanda,RW,Southern Province,RW2,Ruhango,RW26,200615,185748,386363,23310,24934,23363,19642,16103,14063,14888,15048,12633,10156,7049,5898,4790,4265,2497,1103,873,23887,25630,24310,20997,15737,13518,13512,12359,10037,7776,5333,4237,3399,2454,1500,608,454,47197,50564,47673,40639,31840,27581,28400,27407,22670,17932,12382,10135,8189,6719,3997,1711,1327
2023,RWA,Rwanda,RW,Western Province,RW3,Karongi,RW31,190099,172694,362793,22013,23943,23527,20887,16157,13897,13558,14029,10387,7443,6632,5311,4340,3681,2161,1116,1017,22831,24473,23932,21611,15219,12404,11531,11051,7787,5318,4599,3872,3170,2346,1436,575,539,44844,48416,47459,42498,31376,26301,25089,25080,18174,12761,11231,9183,7510,6027,3597,1691,1556
2023,RWA,Rwanda,RW,Western Province,RW3,Ngororero,RW35,190785,168195,358980,23215,24990,24267,20054,16695,14538,14254,12757,10060,7921,6006,5356,3991,3083,1788,977,833,23236,25581,24218,19595,15103,12319,10986,9828,7106,5547,4194,3942,2802,1797,1062,471,408,46451,50571,48485,39649,31798,26857,25240,22585,17166,13468,10200,9298,6793,4880,2850,1448,1241
2023,RWA,Rwanda,RW,Western Province,RW3,Nyabihu,RW34,155177,139299,294476,18671,21029,20751,17468,15141,11111,11385,10226,7160,5756,4228,3947,3058,2469,1370,755,652,18775,21137,20548,17438,14435,10335,9055,7606,5415,3937,2733,2546,2150,1510,964,419,296,37446,42166,41299,34906,29576,21446,20440,17832,12575,9693,6961,6493,5208,3979,2334,1174,948
2023,RWA,Rwanda,RW,Western Province,RW3,Nyamasheke,RW37,214755,193543,408298,26168,25468,26617,22803,19825,15689,15781,14974,11294,9145,6980,6395,5067,3745,2512,1207,1085,26906,26017,27309,23086,17007,12912,12510,12145,8852,6621,5134,5093,4185,2831,1772,659,504,53074,51485,53926,45889,36832,28601,28291,27119,20146,15766,12114,11488,9252,6576,4284,1866,1589
2023,RWA,Rwanda,RW,Western Province,RW3,Rubavu,RW33,291669,282879,574548,37871,38540,36762,34663,30743,22863,21344,19020,13521,10327,7165,5781,5028,3806,2128,1148,959,38540,39345,36677,33131,30432,23867,19999,18499,12802,9335,6241,5210,3975,2509,1396,582,339,76411,77885,73439,67794,61175,46730,41343,37519,26323,19662,13406,10991,9003,6315,3524,1730,1298
2023,RWA,Rwanda,RW,Western Province,RW3,Rusizi,RW36,230419,218093,448512,29671,27322,29415,25331,20485,16592,16855,15233,11789,9733,7543,6904,5210,3796,2242,1326,972,30354,28132,30127,26183,20044,14862,14588,13467,9808,8006,6181,6014,4667,2897,1650,695,418,60025,55454,59542,51514,40529,31454,31443,28700,21597,17739,13724,12918,9877,6693,3892,2021,1390
2023,RWA,Rwanda,RW,Western Province,RW3,Rutsiro,RW32,189240,175416,364656,22708,25472,25025,20794,16222,14158,13524,13142,9614,7287,5731,5001,3952,3080,1908,889,733,23413,25704,25401,21532,16195,12613,12022,10715,7439,5305,4043,3724,3019,2154,1269,508,360,46121,51176,50426,42326,32417,26771,25546,23857,17053,12592,9774,8725,6971,5234,3177,1397,1093
